description,work
Grinning Idiot (1982).     .../,C516
"Isaac A, Vol. 6, No. 9, Whole No. 56 (September 1982).",C517
"The New York Times Book Review, No. 87 (5 December 1982).  Symposium:  [With Mario M. Cuomo et al.]",C518
"NME: New Musical Express (3 April 1982).    Cover   Trouser Press, Vol. 8, No. 12 (February 1982), below.",C519
NME: New Musical Express (16 October 1982).  S. Burroughs and Brion Gysin.ohn.],C520
"Radar, [No.] 1 (1982).  In German. Entire issuefeaturing essays, interviews, and photographsis devoted to Burroughs.   Accompanied by a photograph of Burroughs by Robert Mapplethorpe.",C521
"Rampike, Vol. 2, No. 3 (1982).  Cover:   The Place of Dead Roads   77",C522
"Re/Search, No. 4/5.  A. (1982). Softbound.  The Revised Boy Scout Manual [Excerpt (Cassette #1)].  ... a novel in the form of three one-p. 5.  Early Routines: [Two Excerpts].   The Place of Dead Roads: [Two Excerpts].      Cities of the Red Night [A Chapter Not Included].   -Up Method of Brion  B. 2nd exp. ed. (2007). Hardbound, and softbound.  Content as above, plus:",C523
"Semiotext(e), Vol. 4, No. 2, Whole No. 11 (1982).  Issue title:   , editor of Semiotext(e).]",C524
"Stereo Headphones, No. 8-9-10 (1982).  commerce copies, numbered H.C.1 to H.C.7, are printed on special paper and additionally contain a signed hand-made silhouette multiple by Lourdes Castro, a signed silk-screen print by Barry McCallion, [ and] a   Includes sound recording (EMI Australia, PRS-Heidsieck.",C525
"Trouser Press, Vol. 8, No. 12 (February 1982).  [Burroughs interviews DevoMothersbaugh.]  Jacket    1 9 8 3",C526
"Ambit, No. 95 (1983).    roughs Workshops1981/82, Naropa Institute, Boulder, p. 40.",C527
"Gateavisa, No. 7 (December 1983).  Includes excerpt from Naken Lunsj, the Norwegian translation of Naked Lunch [see Section D below].   by Olav Angell.]",C528
"Long Shot, Vol. 2 (1983).  Burroughs.   78",C529
"New Departures, No. 15 (1983).  The Place of Dead Roads  Two-column style layout.  Illustrated by David Hockney.",C530
"Penthouse (London), Vol. 18, No. 1 (April 1983).  Penthouse Interview:",C531
"Rampike, Vol. 3, No. 1 [i.e., Vol. 3, No. 2] (1983?).  Jacket:     p. 4.  Excerpt from The Retreat Diaries (see Section A above).",C532
"Red Bass, Vol. 3, No. 1 (1983?).  Red Bass [interviewed by Jay Murphy].",C533
"The Review of Contemporary Fiction, Vol. 3, No. 2 (Summer 1983).",C534
"This Is Important, No. 6 (1983).  Small sheet, accordion-folded.   The Place of Dead Roads.",C535
"Vanity Fair, Vol. 46, No. 9 (November 1983).    Jacket   An excerpt from The Place of Dead Roads.  1 9 8 4",C536
"The Advocate, No. 387 (7 February 1984).",C537
"The Advocate, No. 397 (26 June 1984).",C538
"Cleveland Edition, Vol. 1, No. 6 (410 October 1984).  am S. Burroughs: Lengendary Beat Writer Talks of Earth and",C539
"Fotografie, No. 32/33 (1984).  -  Translation by Carl Weissner of excerpt",C540
"High Times, No. 108 (August 1984).  1973: A Reproduction of the Moroccan Scrapbooks of   79",C541
"Kansas Alumni Magazine, Vol. 82, No. 4 (January 1984).      xcerpted from The Adding Machine",C542
"L.A. Weekly, Vol. 6, No. 14 (28 March, 1984).  : The Genial Phantom Speaks  [Burroughs interviewed by Leslie Wolf.]",C543
"The New York Review of Books, Vol. 31, No. 12 (19 July 1984).   [Letter to the Editor]",C544
"The New York Times Book Review, Vol. 89, No. 8 (19 February 1984).  Includes a review of The Place of Dead Roads by Perry Meisel.",C545
"Pigeon, [No. 1] (December 1984).    th",C546
"Radar, [No.] 3 (1984).  Ein Interview mit William B(by Gerard Malanga).  Continued from Radar 2, above.  Aus dem Gesprãch mit William S. Burroughs.  [Burroughs interviewed by Helmut Röhrling.]  Continued from Radar 2, above.",C547
"The Review of Contemporary Fiction, Vol. 4, No. 1 (Spring 1984).  Jacket: umber.          back to live in p. 12.   80",C548
"The Riverfront Times, No. 286 (28 March3 April 1984).  William S. Burroughs: The Author of Naked Lunch Provides Some Food for T   [Burroughs interviewed by Jon McIntire.]",C549
"St. Louis Weekly, No. 210 (2127 March, 1984).  Steppin Out: William Burroughs and the Power of D   [Burroughs interviewed by Jan Herman.]",C550
"Third Rail, No. 6 (1984).   (by Uri Hertz).  1 9 8 5",C551
"Aperture, No. 101 (Winter 1985).",C552
"Beatitude, No. 33 (1985).  Jacket:   [Photograph of Jack Kerouac]",C553
"Frank, No. 4 (SummerAutumn 1985).    Misogyny and Other Essays, to be published by John Calder Pu p. 61. Actually published as: The Adding MachineCollected Essays. [See Section A, above.]",C554
"Gypsy, [No.] 3 (1985).",C555
"Inkblot, [No.] 5 (1985).   the land of the Dead. In   Introductory note by Terry Wilson.",C556
Lawrence Journal-World (3 July 1985).    [Letter to the Editor]  1 9 8 6,C557
"Conjunctions, No. 9 (1986). Hardbound in dustjacket, and softbound.  The Cat Inside  TOC titleThe Cat Inside",C558
Guitar World (July 1986).,C559
"Harpers Magazine, Vol. 273, No. 1638 (November 1986).  Forum:   Burroughs is a contributor, along with several others.  81",C560
"Journal: A Contemporary Art Magazine, Vol. 5, No. 42 (Winter 1986).  -  Excerpted from The Place of Dead Roads.",C561
"The Missouri Review, Vol. 9, No. 2 (1986).",C562
New Statesman (1926 December 1986).,C563
"Pandemonium, [No. 1] (©1986).    Reproductions of six letters from Burroughs to Jack Stevenson, 1983-1986.",C564
"Quorum Vol. 2, No. (1986).  Naked Lunch",C565
"Radium 226.05 Magazine, No. 1 (Spring 1986).  A Crimsom [sic]   TOC title",C566
"Rapid Eye, No. 7/8 (1986).    Re/Search, No. 4/5 (1982), abovc.",C567
"Samurai, No. 7 (1986).    Illustrated by Patrick McEown. Lettered by Dav Aardvark.",C568
"This Is Important, No. 12 (1986).  Small sheet, accordion-folded.   From The Place of Dead Roads.    1 9 8 7",C569
"Omni, Vol. 9, No. 7 (April 1987).",C570
"The Review of Contemporary Fiction, Vol. 7, No. 2 (Summer 1987).     Guest Editor of the issue.",C571
"Semiotext(e), No. 13 (1987).   Issue title:      82",C572
"Water Row Review, Vol. 1 (1987).  Excerpt from The Western Lands.   1 9 8 8",C573
"Art & Design Profile, No. 10 (1988).  Art & Design, Vol. 4, No. 7/8  Grauerholz.      October Gallery, London, from 1 Junep. 4. Actually, this appeared in the catalogue 198724 January 1988. [See Section B, above.]",C574
"Augenblick, No. 5 (Spring 1988).   Tom H. and Paul Dickerson).  In English and Japanese.",C575
"Avec, Vol. 1, No. 1 (1988).  -page illustration by S. Clay Wilson.  Naked Lunch",C576
"Bombay Gin, New Series Vol. 1, No. 3 (Summer 1988).  ... excerpts ... from a lecture ...",C577
"Caliban, No. 4 (1988).  Interzone:   Lee and the Boys  .",C578
"Cottonwood, [No.] 41 (Fall 1988).  Jacket: .",C579
"JacketArts New York, Vol. 2, No. 1 (January 1988).",C580
"Cuz, No. 2 (1988).    Interzone ...p. 98.",C581
Follow Me (July/August 1988).,C582
"Gay Times, No. 119 (August 1988).   83",C583
"National Student Magazine: The Magazine of the National Union of Students, No. 4 (February 1988).  Includes article on Burroughs, Bukowski, et al., by Ian Penman.   [Burroughs interviewed by Kam Haroohar.]",C584
"New Letters, Vol. 55, No. 1 (Fall 1988).  Interzone the direct precursor of Naked Lunchp. 21.      From WORD.  All three are excerpted from Interzone.",C585
"The Paris Review, Vol. 30, No. 109 (Winter 1988).     Excerpted from Interzone.  Nova Express [p. 154]",C586
"The Rocket, No. 105 (July 1988).",C587
"Spin, Vol. 4, No. 1 (April 1988).    Jacket",C588
"This Is Important, No. 15 (1988).  Small sheet, accordion-folded.  The Western Lands.",C589
"Zero Hour, Vol. 1, No. 1 (1988).    1 9 8 9",C590
"Alpha Beat Soup, No. 6 (Winter 1989/90).",C591
"ARTnews, Vol. 88, No. 8 (October 1989).  [Prints a short definition of pornography by Burroughs as part of the article   .]",C592
"Blues, No. 10/Unmuzzled Ox, Vol. 12, No. 4 (Issue No. 26) (1989, ©1988).    The Gay Gun [published as The Place of Dead Roadsp. 62.",C593
"Conjunctions, No. 13 (1989).    84",C594
"The Fenris Wolf, No. 1 (June 1989).   Reprinted July, 1991.  -",C595
"Giorno Poetry Systems Catalogue, No. 19 (1989).",C596
"Impulse, Vol. 15, No. 1 (Winter 1989).",C597
"Onthebus, No. 4 (Winter 1989).",C598
"Radium 226.05 Magazine, No. 2 (Summer 1989).  Interzone",C599
"Rapid Eye, [No.] 1 (1989).  Rapid Eye series of booklets and audio tapes, etc. Rapid Eye 1 is the first in a sep. 248.  2nd rev. ed., 1993.  3rd. rev. ed., 1995.       from The Adding Machine.p. 248. [See Section A, above.]     Re/Search, No. 4/5 (1982), abovc.    The Adding Machine. p. 248. [See Section A, above.]     Tornado Alley p. 248. [See Section A, above.]",C600
"Self and Society: The European Journal of Humanistic Psychology, Vol. 17, No. 2 (March/April 1989).    Exterminator!  DO EASY is a meditative state for everyday life and William Burroughs gives us a marvellous [sic] account of Colonel (retd) Sutton-p. 50.",C601
"Semiotext(e), Vol. 5, No. 2, Whole No. 14 (1989).  Issue title:",C602
"Stiletto, No. 1 (April 1989).   [sic; i.e. Gleamings]          Includes foldout reproduction of Burroughs painting, . 85",C603
"Whole Earth Review, No. 63 (8 June 1989).    Better a New Demon Than an Old God [sic].p. 54. Actually, this record was titled Better an Old Demon Than a New God (GPS 033; see Section E below), on   1 9 9 0",C604
"Contemporanea, No. 23 (December 1990).",C605
"The Dirty Goat, [No. 4] (1990).  The Cat That Walks Alone by David Ohle.   [Burroughs interviewed by David Ohle.]  TOC title   The Cat That Walks Alone, a prose scrapbook devoted to my personal encounters with William S.",C606
"Impulse Magazine, Vol. 15, No. 4 (March 1990).",C607
"Journal Wired, [No. 3] (Summer/Fall 1990).",C608
"Kiosk, Vol. 3 (1990).   by George Gurley).",C609
"Northwest EXTRA!, Vol. 1, No. 12 (April 1990).  Jacket portrait of Burroughs by R. Crumb.    Excerpt from Tornado Alley.  Illustrated by S. Clay Wilson.",C610
"The Note, Vol. 5, No. 11 (November 1990).  William S. Burroughs on Art, Censorship, Word,",C611
"Rampike, Vol. 7, No. 1 (1990).  Jacket:   Jacket   To wall the fault you visualize  Excerpt from The Western Lands.",C612
"Spin, Vol. 5, No. 11 (February 1990).  interesting case of mass hysteria     Jacket t  86  1 9 9 1",C613
"The Advocate, No. 581 (16 July 1991).  Naked Lunch [Burroughs interviewed by David Ehrenstein.]  Jacket : Is Hollywood Really Ready for This?",C614
"Bouillabaise, No. 1 (1991).",C615
"Dazed and Confused, No. 1 (1991).",C616
"Grand Street, Vol. 10, No. 1, Whole No. 37 (1991).  BV   e opera The Black Rider staging by Robert Wilson, and a libretto by Burroughs. Excerpts from the libretto are printed in bold in p. 95.",C617
"Homocore, No. 7 (Winter/Spring 1991).  Interview with William S. BurroughsDeke Motif Nihilson).  [p. 24].",C618
"[] Interview, Vol. 21, No. 4 (April 1991).",C619
"Mondo 2000, No. 3 (Winter 1991).    TOC:     p. 2.",C620
"Mondo 2000, No. 4 ([1991]).  A Couple of Bohos Shooting the Breeze: William S. Burroughs and Timothy Leary in Convers",C621
"Spin. Vol. 7, No. 7 (October 1991).    1 9 9 2",C622
"Ruh Roh, No. 1 (December 1992).",C623
"The San Francisco Review of Books, Vol. 17, No. 1 (1992).    taped conversation that took place in Lawrence, March 17p. 32.  87",C624
"Zone, No. 7 (October [1991]February 1992).    1 9 9 3",C625
Ben Is Dead (Summer 1993).,C626
Flash Art (October 1993).,C627
Platinum (December 1993).     1 9 9 4,C628
"City Lights Review, No. 6 (1994).  , to NYU Beat Conference at Town Hall,   -long conference on Beat writers. His text in this Review is a transcription of his telephone voice from p. 170.",C629
", Vol. 289, Whole No. 1735 (December 1994).  [Dream]   From My Education: A Book of Dreams.p. 24.",C630
"Kaos Magick: Journal of the I.O.T. USA, Vol. 1, No. 1 (Summer 1994).",C631
"Out, Vol. 2, No. 5 (Februart/March 1994).1  [Burroughs interviewed by Gary Indiana.]  p. 85.  1 9 9 5",C632
"Blue Beat Jacket, No. 9 (25 December 1995).    Facsimile of collage by Burroughs and Brion Gysin (1965-1970).",C633
"Grand Street, Vol. 13, No. 3, Whole No. 51 (Winter 1995, ©1994).  My Education: A Book of Dreams  My Education: A Book of Dreams (Viking), to be published p. 240. [See Section A, above.]                                                    1 HAVE. 88",C634
"Grand Street, Vol. 14, No. 2, Whole No. 54 (Fall 1995).  Ghost of Chance  Ghost of Chance p. 258.",C635
"Outside, Vol. 20, No. 3 (March 1995).     1 9 9 6",C636
"Beat Scene, No. 25 ([1 April 1996]).",C637
"Ray Gun, No. 32 (December [1995]/January 1996).",C638
"SoHo Journal (1995/96).      Excerpts from The Job. [See Section H, below.]",C639
"Tribe, No. 10 (August 1996).    [Burroughs interviewed by Peter Orr and Ron Whitehead.]  Tribe after recording Junky    1 9 9 7",C640
"Beat Scene, No. 29 [1997].        nterview with William Burroughs by Anne Waldman &  John Oughton ..",C641
"First Intensity, Vol. 5, No. 1, Whole No. 9 (Summer 1997).",C642
"Five Points, Vol. 2, No. 1 (Fall 1997).  FFEP.",C643
"Grand Street, Vol. 15, No. 3, Whole No. 59 (Winter 1997, ©1996).  (with Brion Gysin).  [Burroughs] transcript of a tape we recorded while talking in front of some of these pictures during the time we both lived in the old Beat Hotel in Pp. 72.  p. 254. [See Section E, below.] 89",C644
Hot Press (September 1997).,C645
Juice (October 1997).,C646
"New Yorker, Vol. 73, No. 24 (18 August 1997).    Excerpt from Last Words: The Final Journals of William S. Burroughs. [See Section H, below.]",C647
"Smelt Money, No. 10 (1997?).    1 9 9 8",C648
"Shift, (May 1998).  by Jennifer Baichwal and Nick de Pencier]  The three were interviewed by documentary film-maker Baichwap. 58.  1 9 9 9",C649
"Bombay Gin, No. 25 (1999).       2 0 0 0",C650
"FreeThought, Vol. 2, No. 2 (Fall 2000).  Also published in limited editions of 150 numbered copies with red banner at head of Jacket and 26 lettered copies with blue banner at head of Jacket.  Burroughs retrospective. Includes:",C651
"Global Tapestry Journal (2nd Coming), No. 23 (2000).",C652
Harpers (February 2000).,C653
"New Departures, [Nos.] 25-26 (2000).      [Letter to the Editor]",C654
"Steamshovel Press, No. 17 (2000).   (by Kenn Thomas). 90   2 0 0 1",C655
"The Anchor, Vol. 74, No. 14 (11 December 2001).    Part 1 of reprint  The Anchor, Vol. 66, No. 21, above.",C656
"The Anchor, Vol. 74, No. 15 (18 December 2001).   Robert Mayoh).  The Anchor, Vol. 66, No. 21, above.",C657
"Cool Beans!, No. 14 [2001?].  -  questions about Morocco and the years he spent in Tanger [sicp. 34.  2 0 0 2",C658
"Du, No. 731 (November 2002).    Excerpt from The Western Lands. English and German. German translation by Carl Weissner.",C659
"First Intensity, No. 17 (2002).  Frisk  2 0 0 3",C660
"Another Magazine, No. 5 (Autumn/Winter 2003).",C661
"Headpress, [No.] 25 (2003).    (by Johnny Strike and Gregory Ego).  Ambit, No. Journal Wired, [No. 3] (Summer/Fall 1990) (under the name Gregory Daurer), above.  2 0 0 4",C662
"Weirdly Supernatural, No. 2 (2004).    2 0 0 5",C663
"Purple Fashion, No. 4 (2005).  Interzone   91  2 0 0 7",C664
"Inkblot, [No.] 11 (2007).  Includes a facsimile of the verso of a postcard from WSB to Theo Green (editor of Inkblot), dated December 1983.   ...Gysin].  ... -)[p. 3]   Three-color facsimile of three-column-layout manuscript reproduced as the inside front and back Jackets of the issue.   2 0 1 2",C665
"Sensitive Skin, No. 8 (2012).    the many hours of taped conversation [between Burroughs and Ginsberg] which took place in Lawrence, Kansas, from March 17p. 30.   Transcribed by Steven Taylor, with initial edits by Taylor and Ginsberg.  Originally published in 1992 in The San Francisco Review of Books (Vol. 17, No. 1 (1992), above) under the published in Burroughs Live (Los Angeles, 2001) [see Section H, belowThe   2 0 1 4",C666
"Beat Scene, No. 71a (Winter 2014).     (by Gregory Corso and Allen Ginsberg).  appeared in the 1961 issue of Journal for the Protection of All Beings p. 5. [See above]  awrence, Kansas, 23 November 1984[Burroughs interviewed by Oliver Harris]   92  D. FOREIGN TRANSLATIONS   Ah Pook Is Here. French",C667
